Author,Rating,Reviews,Pages,Price
Danielle Steel,4.5,2,450.0,829.1700000000001
Danielle Steel,4.0,1,289.0,497.17
Danielle Steel,3.5,9,338.0,829.1700000000001
Danielle Steel,4.5,3,434.0,829.1700000000001
John Grisham,3.5,6,466.0,829.1700000000001
John Grisham,4.0,32,322.0,663.1700000000001
John Grisham,4.0,10,482.0,663.1700000000001
John Grisham,2.0,1,434.0,829.1700000000001
Dan Brown,3.5,30,550.0,1078.17
Dan Brown,3.5,173,574.0,829.1700000000001
Dan Brown,4.5,7,776.0,1327.17
Dan Brown,1.0,1,873.0,1327.17
Dan Brown,4.0,11,680.0,1327.17
Agatha Christie,5.0,2,235.0,829.1700000000001
Agatha Christie,2.0,1,271.0,1161.17
Malcolm Gladwell,4.0,83,169.0,1078.17
Malcolm Gladwell,4.0,34,291.0,995.1700000000001
Malcolm Gladwell,4.0,29,204.0,995.1700000000001
Malcolm Gladwell,5.0,1,319.0,1078.17
Malcolm Gladwell,3.5,2,280.0,995.1700000000001
Malcolm Gladwell,3.0,1,83.0,414.17
Malcolm Gladwell,4.0,1,193.0,995.1700000000001
Malcolm Gladwell,5.0,1,215.0,331.17
Yuval Noah Harari,4.0,12,520.0,746.1700000000001
Yuval Noah Harari,5.0,2,548.0,1078.17
Barack Obama,4.5,3,386.0,497.17
Barack Obama,5.0,3,41.0,414.17
Simon Sinek,4.0,5,370.0,746.1700000000001
"Simon Sinek, David Mead, Peter Docker",5.0,1,258.0,663.1700000000001
Simon Sinek,5.0,1,274.0,1410.1699999999998
Jordan B. Peterson,4.0,9,449.0,1410.1699999999998
Jordan B. Peterson,5.0,2,760.0,746.1700000000001
Cal Newport,4.0,5,229.0,1327.17
Cal Newport,4.0,1,163.0,1244.17
Cal Newport,4.0,5,210.0,580.1700000000001
Cal Newport,3.5,6,226.0,829.1700000000001
Robert Kiyosaki,3.5,2,320.0,581.0
Robert T. Kiyosaki,5.0,1,311.0,663.1700000000001
Robert T. Kiyosaki,4.0,1,231.0,580.1700000000001
"Robert T. Kiyosaki, Kim Kiyosaki",5.0,1,176.0,829.1700000000001
Robert Kiyosaki,1.5,2,320.0,581.0
Napoleon Hill,5.0,1,257.0,580.1700000000001
Dale Carnegie,4.5,9,400.0,1244.17
Stephen R. Covey,5.0,2,190.0,1161.17
Stephen R. Covey,5.0,3,432.0,1327.17
Stephen R. Covey,5.0,1,464.0,746.1700000000001
"Dan J. Sanders, Stephen Covey, Ken Blanchard",5.0,2,274.0,3137.3999999999996
Brandon Sanderson,4.0,22,816.0,912.1700000000001
Brandon Sanderson,5.0,1,1327.0,1078.17
Brandon Sanderson,5.0,1,180.0,414.17
Brandon Sanderson,5.0,1,385.0,829.1700000000001
Brandon Sanderson,4.5,20,420.0,912.1700000000001
"Brandon Sanderson, Janci Patterson",5.0,2,209.0,829.1700000000001
"Robert Jordan, Brandon Sanderson",4.5,41,866.0,829.1700000000001
George R. R. Martin,4.0,1,370.0,497.17
George R. R. Martin,4.0,246,769.0,663.1700000000001
George R. R. Martin,3.0,1,288.0,414.17
George R. R. Martin,3.5,174,786.0,663.1700000000001
"George R. R. Martin, Elio M. García Jr., Linda Antonsson",5.0,1,338.0,1493.1699999999998
George R. R. Martin,2.5,2,737.0,663.1700000000001
George R. R. Martin,5.0,3,369.0,829.1700000000001
"George R. R. Martin, Philip K. Dick, Anne McCaffrey",3.0,1,562.0,1161.17
Neil Gaiman,4.0,1,251.0,1244.17
H.P. Lovecraft,4.0,6,402.0,663.1700000000001
"Neil Gaiman, Michael Reaves",4.5,2,264.0,829.1700000000001
Terry Pratchett,4.0,15,372.0,414.17
Terry Pratchett,3.5,20,292.0,1202.67
Terry Pratchett,4.0,1,317.0,1161.17
Terry Pratchett,3.5,14,228.0,1078.17
Terry Pratchett,5.0,1,253.0,82.17
Terry Pratchett,4.0,32,381.0,787.6700000000001
Terry Pratchett,5.0,1,516.0,1700.6699999999998
Terry Pratchett,4.0,29,415.0,414.17
Terry Pratchett,5.0,1,228.0,829.1700000000001
Terry Pratchett,5.0,1,354.0,1161.17
Terry Pratchett,3.5,25,246.0,746.1700000000001
Terry Pratchett,4.0,17,404.0,829.1700000000001
Terry Pratchett,4.5,35,382.0,165.17
Terry Pratchett,3.5,19,356.0,414.17
Haruki Murakami,4.0,22,450.0,165.17
Haruki Murakami,4.0,1,97.0,414.17
Haruki Murakami,2.0,1,179.0,497.17
Haruki Murakami,3.5,10,162.0,829.1700000000001
Haruki Murakami,4.0,10,239.0,995.1700000000001
Haruki Murakami,3.5,13,224.0,995.1700000000001
Margaret Atwood,4.0,1,185.0,995.1700000000001
Margaret Atwood,5.0,1,213.0,248.17000000000002
Margaret Atwood,5.0,1,481.0,1161.17
Margaret Atwood,4.0,2,529.0,1161.17
Margaret Atwood,3.0,1,115.0,414.17
Margaret Atwood,3.0,2,286.0,829.1700000000001
Margaret Atwood,3.5,2,417.0,1078.17
Toni Morrison,5.0,2,86.0,829.1700000000001
Chimamanda Ngozi Adichie,4.0,3,509.0,1078.17
Chimamanda Ngozi Adichie,4.0,3,241.0,995.1700000000001
Chimamanda Ngozi Adichie,4.5,3,65.0,414.17
Chimamanda Ngozi Adichie,4.0,2,34.0,414.17
Chimamanda Ngozi Adichie,5.0,1,553.0,372.67
Erin Hunter,5.0,1,228.0,1036.67
